,block_num,tx_time,tx_from,tx_to,tx_amount,tx_fee,account_value
0x073b...9db10e,37501968,"Sep 03, 2020  20:15:35  /  UTC+9",0x073b...9db10e,0x2968...c4e5a8,-2400,0.000775,150928315.0
0xc322...49ca1c,37501896,"Sep 03, 2020  20:14:23  /  UTC+9",0xc322...49ca1c,0x2968...c4e5a8,-21410,0.000775,150928315.0
0x3e7e...affc5b,37501884,"Sep 03, 2020  20:14:11  /  UTC+9",0x3e7e...affc5b,0x2968...c4e5a8,-647,0.000775,150928315.0
0xc757...d28297,37502159,"Sep 03, 2020  20:18:46  /  UTC+9",0xc757...d28297,0x2968...c4e5a8,-10,0.000775,150925305.0
0x2377...37159f,37502147,"Sep 03, 2020  20:18:34  /  UTC+9",0x2377...37159f,0x2968...c4e5a8,-3000,0.000775,150925305.0
0xa889...f62026,37502395,"Sep 03, 2020  20:22:42  /  UTC+9",0xa889...f62026,0x2968...c4e5a8,-107054,0.000775,150797238.0
0x0eac...7307b3,37502317,"Sep 03, 2020  20:21:24  /  UTC+9",0x0eac...7307b3,0x2968...c4e5a8,-100,0.000775,150797238.0
0x5630...54cb79,37502244,"Sep 03, 2020  20:20:11  /  UTC+9",0x5630...54cb79,0x2968...c4e5a8,-18712,0.000775,150797238.0
0x5da6...0ae8e7,37502232,"Sep 03, 2020  20:19:59  /  UTC+9",0x5da6...0ae8e7,0x2968...c4e5a8,-2200,0.000775,150797238.0
0x2048...e33660,37502473,"Sep 03, 2020  20:24:00  /  UTC+9",0x2048...e33660,0x2968...c4e5a8,-15000,0.000775,150782238.0
0x072a...b42034,37502485,"Sep 03, 2020  20:24:12  /  UTC+9",0x072a...b42034,0x2968...c4e5a8,-40,0.000775,150782198.0
0xe03a...965736,37502642,"Sep 03, 2020  20:26:49  /  UTC+9",0xe03a...965736,0x2968...c4e5a8,-4990,0.000775,150759208.0
0xd666...49ee12,37502558,"Sep 03, 2020  20:25:25  /  UTC+9",0xd666...49ee12,0x2968...c4e5a8,-18000,0.000775,150759208.0
0xeace...39edab,37502768,"Sep 03, 2020  20:28:55  /  UTC+9",0xeace...39edab,0x2968...c4e5a8,100000,0.000775,150859208.0
0x22b2...eefc5a,37502861,"Sep 03, 2020  20:30:28  /  UTC+9",0x22b2...eefc5a,0x2968...c4e5a8,-52,0.000775,150857121.0
0xc5cd...d3a908,37502849,"Sep 03, 2020  20:30:16  /  UTC+9",0xc5cd...d3a908,0x2968...c4e5a8,-2034,0.000775,150857121.0
0x3208...2e5d65,37503038,"Sep 03, 2020  20:33:25  /  UTC+9",0x3208...2e5d65,0x2968...c4e5a8,-1000,0.000775,150848615.0
0xdd33...51ce96,37503036,"Sep 03, 2020  20:33:23  /  UTC+9",0xdd33...51ce96,0x2968...c4e5a8,5555,0.000775,150848615.0
0xae65...ea0c8e,37502962,"Sep 03, 2020  20:32:09  /  UTC+9",0xae65...ea0c8e,0x2968...c4e5a8,-3000,0.000775,150848615.0
0xef55...6eed3e,37502949,"Sep 03, 2020  20:31:56  /  UTC+9",0xef55...6eed3e,0x2968...c4e5a8,-7000,0.000775,150848615.0
0x6b8e...4a5557,37502936,"Sep 03, 2020  20:31:43  /  UTC+9",0x6b8e...4a5557,0x2968...c4e5a8,-21410,0.000775,150848615.0
0x2e85...701c49,37502901,"Sep 03, 2020  20:31:08  /  UTC+9",0x2e85...701c49,0x2968...c4e5a8,18349,0.000775,150848615.0
0x1d52...3c39fe,37503127,"Sep 03, 2020  20:34:54  /  UTC+9",0x1d52...3c39fe,0x2968...c4e5a8,-1375,0.000775,150847140.0
0x195e...14e892,37503115,"Sep 03, 2020  20:34:42  /  UTC+9",0x195e...14e892,0x2968...c4e5a8,-100,0.000775,150847140.0
0x9f56...3be556,37503301,"Sep 03, 2020  20:37:48  /  UTC+9",0x9f56...3be556,0x2968...c4e5a8,-3387,0.000775,150822070.0
0x13ca...ce1448,37503226,"Sep 03, 2020  20:36:33  /  UTC+9",0x13ca...ce1448,0x2968...c4e5a8,-3000,0.000775,150822070.0
0x05c5...22ce8e,37503214,"Sep 03, 2020  20:36:21  /  UTC+9",0x05c5...22ce8e,0x2968...c4e5a8,-8681,0.000775,150822070.0
